standard_form,dialect_form
그 그거는 내가 조금 재밌게 봤어서 기억이 계속 남아 가지고,그 그거는 내가 쫌 재밌게 봤어서 기억이 계속 남아 가지고
그건 너도 만약에 기회 되면 조금 봤으면 좋겠고 음,그건 니도 만약에 기회 되면 쫌 봤으면 좋겠고 음
그리고 막 이것저것 보긴 봤는데 일단 그게 제일 기억에 남고 혹시 너는 나한테 추천해 주고 싶은 영화 있나?,그리고 막 이것저것 보긴 봤는데 일단 그게 제일 기억에 남고 혹시 니는 내한테 추천해 주고 싶은 영화 있나?
아 말했던 유전 같은 경우는 내가 보자 그래서 본 거였는데,아 말했던 유전 같은 경우는 내가 보자 케서 본 거였는데
아까 네가 말한 그 뭐 층 사이에 그렇게 있는 거 그것도 재밌을 거 같아서,아까 니가 말한 그 뭐 층 사이에 그렇게 있는 거 그것도 재밌을 거 같아서
음 볼 생각이고 그러고 내가 추천해 주고 싶은 영화는,음 볼 생각이고 그카고 내가 추천해 주고 싶은 영화는
추천해 주고 싶은 영화를 얘기하자면 나는 공포 영화가 대부분이라서 네가 어차피 못 보겠지만,추천해 주고 싶은 영화를 얘기하자면 나는 공포 영화가 대부분이라서 니가 어차피 못 보겠지만
뭐 내가 봤던 것 중에 진짜 뭐 조금 재밌었던 거 얘기하자면,뭐 내가 봤던 것 중에 진짜 뭐 쫌 재밌었던 거 얘기하자면
나는 근데 약간 공포 영화 중에서도 네가 싫어하는 귀신 나오는 그런 류를 조금 좋아해 갖고,나는 근데 약간 공포 영화 중에서도 니가 싫어하는 귀신 나오는 그런 류를 쫌 좋아해 갖고
셔터 이런 것도 만약에 네가 보면 약간 뒤로 넘어갈 거 같은데 그런 것도  나는 진짜 재밌었고,셔터 이런 것도 만약에 니가 보면 약간 뒤로 넘어갈 거 같은데 그런 것도  나는 진짜 재밌었고
마냥 무섭기만 한 게 아니라 알고 보면 스토리도 조금 눈물 나고,마냥 무섭기만 한 게 아니라 알고 보면 스토리도 쫌 눈물 나고
뭐 그런 거  그런 거를 추천 하기에는 조금 그렇지만 하여튼,뭐 그런 거  그런 거를 추천 하기에는 쫌 그렇지만 하여튼
유전 같은 거 좋아하면 뭐 미드소마 같은 것도 네가 말한 대로 보면 좋은 거 같고,유전 같은 거 좋아하면 뭐 미드소마 같은 것도 니가 말한 대로 보면 좋은 거 같고
우 혼자 보는 것보다 나도 유전도 혼자 볼 때는 그냥 별생각 없었는데 너희들이랑 보니까 갑자기 진 너무 재밌어진 것처럼,우 혼자 보는 것보다 나도 유전도 혼자 볼 때는 그냥 별생각 없었는데 니들이랑 보니까 갑자기 진 너무 재밌어진 것처럼
그러니까 끝까지 간다가 진짜 뭐라고 하지,그니까 끝까지 간다가 진짜 뭐라카지
뭐 그러니까 나는 근데 알라딘도 최근에 본 것 중에 내가 원래 근데 애니 반영 이런 영화를 별로 안 좋아하는데,뭐 근까 나는 근데 알라딘도 최근에 본 것 중에 내가 원래 근데 애니 반영 이런 영화를 별로 안 좋아하는데
음 그러고 나는 뭐 근데 은근히 내가 남들 다 보는 영화를 조금 안 봤어,음 그러고 나는 뭐 근데 은근히 내가 남들 다 보는 영화를 쫌 안 봤어
약간 내가 미국 마 뭐 히어로 마블 이런 거 별로 안 좋아한단 말이야 그런 류에 별로 관심이 없다 해야 되나?,약간 내가 미국 마 뭐 히어로 마블 이런 거 별로 안 좋아한단 말이야 그런 류에 별로 관심이 없다 케야 되나?
뭐라고 하지?,뭐라카지?
주류의 영화라도 나한테는 비주류일 수도 있고 나한테 비주류가 아닌 거라도 남들한텐 비주류일 수도 있으니까,주류의 영화라도 내한테는 비주류일 수도 있고 내한테 비주류가 아닌 거라도 남들한텐 비주류일 수도 있으니까
너는 뭐 영 영웅 나오는 그런 영화나 뭐 판타지 영화 뭐 이런 건 좋아해 나는 근데 해리포터 이런 류는 또 좋아하거든,니는 뭐 영 영웅 나오는 그런 영화나 뭐 판타지 영화 뭐 이런 건 좋아하나 나는 근데 해리포터 이런 류는 또 좋아하거든
하여튼 뭐 그런 비현실적인 얘기들은 좋아해,하여튼 뭐 그런 비현실적인 얘기들은 좋아하나
근데 나도 너랑 비슷한 게 조금 마블,근데 나도 니랑 비슷한 게 쫌 마블
뭐 나도 남들 다 좋아해도 나한테는 비주류일 수 있다고,뭐 나도 남들 다 좋아해도 내한테는 비주류일 수 있다고
네 생각이랑 같다고 생각한다,니 생각이랑 같다고 생각한다
특별한 날 해 먹는 음식으로 많이 생각을 해서 조금 부담이 되는 음식이잖아요 그렇죠?,특별한 날 해 먹는 음식으로 많이 생각을 해서 쫌 부담이 되는 음식이잖아요 그죠?
그 유튜브를 이제 조금 재미를 들여갖고 유튜브를 이렇게 자꾸 이 검색을 해서 조금 많이 보거든요,그 유튜브를 이제 쫌 재미를 들여갖고 유튜브를 이렇게 자꾸 이 검색을 해서 쫌 많이 보거든요
그런 유튜브 나쁜 쪽으로도 조금 얘기하는 이렇게 방 그런 내용이 많든데요 저는,그런 유튜브 나쁜 쪽으로도 쫌 얘기하는 이렇게 방 그런 내용이 많든데요 저는
그래서 제가 인제 잡채를 쪼끔 부 아 이렇게 막 씨 제가 잡채를 저도 참 좋아해요 그래서 잡채를 해 먹을라니까,그래서 제가 인제 잡채를 쪼끔 부 아 이케 막 씨 제가 잡채를 저도 참 좋아해요 그래서 잡채를 해 먹을라니까
아우 시금치도 데쳐야 되고 당면도 또 끓이려면 시간 조금 제법 걸리고,아우 시금치도 데쳐야 되고 당면도 또 끓이려면 시간 쫌 에부 걸리고
그러니까 잡채를 십 분 만에 하는 방법이 나와 있드라구요,그니까 잡채를 십 분 만에 하는 방법이 나와 있드라구요
그래갖고 인제 물을 끓여가지고 물을 끓여가지고 물을 이제 팔팔 끓이잖아요 그렇죠?,그래갖고 인제 물을 끓여가지고 물을 끓여가지고 물을 이제 팔팔 끓이잖아요 그죠?
그런 상태에서 당면만 불려놓으면은 당면을 탁 넣잖아요 그렇죠?,그런 상태에서 당면만 불려놓으면은 당면을 탁 넣잖아요 그죠?
물 끓을 때 당면을 넣잖아요 그렇죠 그럼 당면이 그 물 오백 미리를 넣거든요,물 끓을 때 당면을 넣잖아요 그죠 그럼 당면이 그 물 오백 미리를 넣거든요
그러면 해물이라든지 뭐 고기를 넣고 싶다 그럼 고기를 넣어 가지고,그라면 해물이라든지 뭐 고기를 넣고 싶다 그럼 고기를 넣어 가지고
그러면 이렇게 같이 이렇게 막 볶듯이 이렇게 하잖아요 그러면 댕머이 당면이 되드라구요,그러면 이렇게 같이 이렇게 막 뽂듯이 이렇게 하잖아요 그러면 댕머이 당면이 되드라구요
그 갈비찜도 뭐 생각보다 대단히 조금 우리가 왜 명절에 해 먹는다고 생각하는 음식이잖아요 그렇죠?,그 갈비찜도 뭐 생각보다 억수로 쫌 우리가 왜 명절에 해 먹는다고 생각하는 음식이잖아요 그죠?
갈비찜 괜찮냐고 이러면 뭐 아 좋다 이러면은,갈비찜 괜찮냐고 이라면 뭐 아 좋다 이라면은
해서 요즘에는 이제 아이들이 좀 크고 나니까 전에는 아이들 어릴 때는,해서 요즘에는 인자 아이들이 좀 크고 나니까 전에는 아이들 어릴 때는
어 그 뭐 해 먹지 이러면 시래깃국 이러면 시래깃국 해 먹고 이렇게 되드라구요 그래서,어 그 뭐 해 먹지 이라면 시락국 이라면 시락국 해 먹고 이렇게 되드라구요 그래서
아 메뉴만 조금 정해갖고 조금 이렇게 달력에다 적어 주면 안 될까 막 이렇게 하거든요,아 메뉴만 쫌 정해갖고 쫌 이렇게 달력에다 적어 주면 안 될까 막 이렇게 하거든요
그 그래서 오늘 아침에도 제가 인제 시래깃국을 인제,그 그래서 오늘 아침에도 제가 인제 시락국을 인제
그 아저씨가 좋아해서 남편이 좋아해서 시래깃국을 끓였거든요,그 아저씨가 좋아해서 남편이 좋아해서 시락국을 끓였거든요
그 뭐 시래깃국 같은 것도 사실은 인제 멸치 다시물만 조금 진하게 끓이면,그 뭐 시락국 같은 것도 사실은 인제 멸치 다시물만 쫌 찐하게 끓이면
인제 뭐 이렇게 양념해서 끓이는데 한 이사 뭐 이십 그러니까 십 분 십 분 해갖고,인제 뭐 이렇게 양념해서 끓이는데 한 이사 뭐 이십 그니까 십 분 십 분 해갖고
굉장히 영양가가 많다 보니까 이제 어머니들이 시래깃국을 참 많이 끓이실 거 같애요,굉장히 영양가가 많다 보니까 이제 어머니들이 시락국을 참 많이 끓이실 거 같애요
남편이 여행을 너무 안 간다 생각하니까 제가 아이고 아이들 데리고 조금 가야 되겠다 이래갖고,남편이 여행을 너무 안 간다 생각하니까 제가 아이고 아이들 데꼬 쫌 가야 되겠다 이래갖고
어떻게 가면 좋겠어 이렇게 인제 조언을 구해갖고 한 번씩 가긴 하는데,어떻게 가믄 좋겠노 이렇게 인제 조언을 구해갖고 한 번씩 가긴 하는데
천천히 어 답답하면 자기 앞질러 가겠지 이러면서 한 번씩 인제 먹거리 찾아서,천천히 어 답답하면 지 앞질러 가겠지 이라면서 한 번씩 인제 먹거리 찾아서
거기를 인제 한번 가보자 이래 갖고 계획하고 있어요 그 혹시 떡볶이 좋아하세요?,그기를 인제 한번 가보자 이래 갖고 계획하고 있어요 그 혹시 떡볶이 좋아하세요?
그때도 뭐 조금 그 동네에서는 유명하긴 했는데 요새는 뭐,그때도 뭐 쫌 그 동네에서는 유명하긴 했는데 요새는 뭐
옛날이랑 다르게 그렇죠 옛날에는 진짜로,옛날이랑 다르게 그쵸 옛날에는 진짜로
해가지고 맨날 똑같은 거 먹기는 조금 이제 어머니 성격에 조금 그렇고,해가지고 맨날 똑같은 거 먹기는 쫌 이제 어머니 성격에 쫌 그렇고
조금 그게 잘 안 되시나 봐요 이제 성에 안 차시나 봐요,쫌 그게 잘 안 되시나 봐요 이제 성에 안 차시나 봐요
엄마 다른 집은 이렇게 하드라 조금 얘기해주고 싶어가지고요,엄마 다른 집은 이렇게 하드라 쫌 얘기해주고 싶어가지고요
조금 말씀해주시면 좋을 거 같애요,쫌 말씀해주시면 좋을 거 같애요
이 뭐 어느 정도 사귀었다 이렇게 시 어느 정도 기간이 사귀었다면 이 사람하고 결혼하는 걸로 그냥,이 뭐 어느 정도 사겼다 이렇게 시 어느 정도 기간이 사겼다면 이 사람하고 결혼하는 걸로 그냥
아 이 사람하고 그냥 뭐 헤어지는 거는 조금 상상이 좀 안 되고  그렇게 해서 결혼을 했는데,아 이 사람하고 그냥 뭐 헤어지는 거는 쫌 상상이 좀 안 되고  그렇게 해서 결혼을 했는데
그게 뭐냐면 제사 음식에 보면 생선도 남고 나물도 남고 뭐 이렇잖아요 그렇죠 튀김도 남고,그게 뭐냐면 제사 음식에 보면 생선도 남고 나물도 남고 뭐 이렇잖아요 그죠 튀김도 남고
엄마가 인제 담은 조선간장을 일 이렇게 입맛일 입맛을 길들여져 있었고,엄마가 인제 담은 조선간장을 일 이케 입맛일 입맛을 길들여져 있었고
그래갖고 제가 처음에 이제 결혼했을 때는 참 많이 말랐었어요,그래갖고 제가 처음에 인자 결혼했을 때는 참 많이 말랐었어요
그 단 음식을 이렇게 입에 만 맞아가지고 조금 안 먹고 이러다 보니까 살이 자꾸 빠져가지고 나중에는 막 빈혈까지 오고 막 이러드라구요,그 단 음식을 이렇게 입에 만 맞아가지고 쫌 안 먹고 이러다 보니까 살이 자꾸 빠져가지고 나중에는 막 빈혈까지 오고 막 이러드라구요
그리고 그 나름대로 인제 그 콩나물 안에 간장이 싹 배여 가지고 짭조름하면서,그리고 그 나름대로 인제 그 콩나물 안에 간장이 삭 배여 가지고 짭조름하면서
저희 남편도 입이 굉장히 짧아요 금방 말씀하셨듯이 아버님께서,저희 남편도 입이 굉장히 짤아요 금방 말씀하셨듯이 아버님께서
아 너무 좋겠다 어머님은 그래도 마음은 조금 편하시겠다 생각을 했거든요,아 너무 좋겠다 어머님은 그래도 마음은 쫌 편하시겠다 생각을 했거든요
근데 저희 남편은 굉장히 인제 입이 짧아 가지고,근데 저희 남편은 굉장히 인제 입이 짤아 가지고
그 음식을 인제 조금 이렇게 잘 이 골고루 이렇게 조금 잘 못 먹는 편이에요 음 그,그 음식을 인제 쫌 이렇게 잘 이 골고루 이렇게 쫌 잘 못 먹는 편이에요 음 그
뭐 해주면은 이렇게 탓을 조금 잘해서 제가 어떨 때는 그것 때문에 조금 속도 상하고 그렇게 하거든요,뭐 해주면은 이렇게 탓을 쫌 잘해서 제가 어떨 때는 그것 땜에 쫌 속도 상하고 그렇게 하거든요
요즘에는 조금 많이 인제 투정을 많이 인제 줄인 편인데,요즘에는 쫌 많이 인제 투정을 많이 인제 줄인 편인데
인제 막 그렇게 고민을 너무 심하게 할 때는 남편도 인제 저를 들어주듯이,인제 막 그래 고민을 너무 심하게 할 때는 남편도 인제 저를 들어주듯이
그냥 맛없는 고기 같으면 그냥 막 먹으면서 인제 조금 짜증이 나고 막 이럴 건데,그냥 맛없는 고기 같으면 그냥 막 먹으면서 인제 쫌 짜증이 나고 막 이럴 건데
저처럼 나이가 쪼금 한 오십 대 같아 그렇죠 그러면은 웬만한 음식은 그냥 후딱후딱 하시잖아요 그렇죠?,저처럼 나이가 쪼금 한 오십 대 같아 그죠 그러면은 웬만한 음식은 그냥 후딱후딱 하시잖아요 그죠?
그 메뉴만 한 번씩 조금 저희 아이처럼 알려주세요,그 메뉴만 한 번씩 쫌 저희 아이처럼 알려주세요
얘 너 오늘 그 학교 급식표 받았지 그거 누나 한번 찍자,얘 니 오늘 그 학교 급식표 받았제 그거 누나 한번 찍자
근데 이제 그 친구가 외힙 쪽에서 이제 조금 많이,근데 이제 그 친구가 외힙 쪽에서 이제 쫌 많이
힙찔이라는 이제 말을 쓰면서 이거는 조금 아닌 거 같다 이렇게 했는데,힙찔이라는 이제 말을 쓰면서 이거는 쫌 아닌 거 같다 이렇게 했는데
외국 힙합을 특히 조금 많이 들었던 거 같애요,외국 힙합을 특히 쫌 많이 들었던 거 같애요
클래식이랑 성악에 관심이 조금 많이 생겨가지고 지금은 공연도 보러 다니고 그러고 있는데,클래식이랑 성악에 관심이 쫌 많이 생겨가지고 지금은 공연도 보러 다니고 그러고 있는데
뭔가 그 그 사람만의 그런 에너지가 느껴진다고 해야 조금 약간 열정?,뭔가 그 그 사람만의 그런 에너지가 느껴진다고 해야 쫌 약간 열정?
뭔가 왜냐면 목소리가 굉장히 조금 굵고 남 조금 남자다운 그런 이 느낌으로 노래를 하거든요,뭔가 왜냐면 목소리가 굉장히 쫌 굵고 남 쫌 남자다운 그런 이 느낌으로 노래를 하거든요
뭐 다른 거는 뭐 사실 이제 우리나라 사람 같은 경우에는,뭐 따른 거는 뭐 사실 이제 우리나라 사람 같은 경우에는
뭐 어떤 힙합 프로그램이 뭐 쇼미더머니나 막 그런 게 많이 조금 활성화됐었잖아요?,뭐 어떤 힙합 프로그램이 뭐 쇼미더머니나 막 그런 게 많이 쫌 활성화됐었잖아요?
가수 중에는 아까 제가 말했던 그 팬텀싱어에서 발굴된 어떤 그룹을 되게 조금 좋아하기는 좋아하는데,가수 중에는 아까 제가 말했던 그 팬텀싱어에서 발굴된 어떤 그룹을 되게 쫌 좋아하기는 좋아하는데
음악 하면은 그러면 노래도 조금 잘 부르시나요?,음악 하면은 그러면 노래도 쫌 잘 부르시나요?
저는 이제 발라드보다는 힙합을 조금 많이 하는 거 같애요 근데,저는 이제 발라드보다는 힙합을 쫌 많이 하는 거 같애요 근데
노래라는 게 저는 이제 막 우울한 노래도 많고 뭐 조금 신나는 노래도 많잖아요 근데 그중에서,노래라는 게 저는 이제 막 우울한 노래도 많고 뭐 쫌 신나는 노래도 많잖아요 근데 그중에서
신나는 노래를 조금 많이 하는 거 같애요,신나는 노래를 쫌 많이 하는 거 같애요
조금 신나거나 조금 밝은 노래를 조금 많이 들을려고 하거든요,쫌 신나거나 쫌 밝은 노래를 쫌 많이 들을려고 하거든요
조금 어떤 힙합이나 조금 신나는 노래를 조금 많이 하는 거 같애요,쫌 어떤 힙합이나 쫌 신나는 노래를 쫌 많이 하는 거 같애요
어 그래서 사실 옛날에 조금 노래를 잘하고 싶어서,어 그래서 사실 옛날에 쫌 노래를 잘하고 싶어서
힙합은 조금 어렵고 조금 약간 신날 때 이렇게 부르는 거지,힙합은 쫌 어렵고 쫌 약간 신날 때 이케 부르는 거지
이제 옛날에 뭐 조금 군대에 있을 건 있을 때나,이제 옛날에 뭐 쫌 군대에 있을 건 있을 때나
조금 힘들 때 그 노래를 들으면 이 가사가 이제 굉장히 좋거든요,쫌 힘들 때 그 노래를 들으면 이 가사가 이제 굉장히 좋거든요
예 그런 것들이 저는 이제 조금 뭐라고 해야 되지?,예 그런 것들이 저는 이제 쫌 뭐라고 해야 되지?
저 같은 경우에는 가사가 조금 잘 안 들리는 타입이라서 그냥 멜로디나 그런 것들 위주로 쪼금 듣는 타입인데,저 같은 경우에는 가사가 쫌 잘 안 들리는 타입이라서 그냥 멜로디나 그런 것들 위주로 쪼금 듣는 타입인데
조금 약간 부상부적인 것들이 많아요 뭐 돈,쫌 약간 부상부적인 것들이 많아요 뭐 돈
뭐 대신 이제 조금 신나는 조금 힘 힘이 나는 노래 있잖아요 뭐 말하는 대로라던가,뭐 대신 이제 쫌 신나는 쫌 힘 힘이 나는 노래 있잖아요 뭐 말하는 대로라던가
그래서 그런 것들이 이제 저는 조금 조금 제가 눈여겨봤던 거 같애요,그래서 그런 것들이 이제 저는 쫌 쫌 제가 눈여겨봤던 거 같애요
막 엄청 뭐 최애 장르다 이런 거는 조금 아닌 거 같기는 해요,막 엄청 뭐 최애 장르다 이런 거는 쫌 아닌 거 같기는 해요
뭐 그게 조금 잘 안 되더라고요 그래서 이제 뭐 그렇게까지 막,뭐 그게 쫌 잘 안 되더라고요 그래서 이제 뭐 그렇게까지 막
그냥 이제 노래 그냥 조금 가끔 듣고 사실,그냥 이제 노래 그냥 쫌 가끔 듣고 사실
그렇게 막 자주 듣는 편도 아니에요 그냥 약간 가끔  이제 그냥 조금,그렇게 막 자주 듣는 편도 아니에요 그냥 약간 가끔  이제 그냥 쫌
그래서 이제 콘서트가 제가 가진 않지만 요즘 조금 세상이 좋아져가지고 이제,그래서 이제 콘서트가 제가 가진 않지만 요즘 쫌 세상이 좋아져가지고 이제
그 그런 것들을 이제 제가 조금 보는 거 같애요,그 그런 것들을 이제 제가 쫌 보는 거 같애요
이런 것들을 이제 에 라이브로 이제 조금  하는 게 있으면 듣고,이런 것들을 이제 에 라이브로 이제 쫌  하는 게 있으면 듣고
조금 더 공연이나 이런 것도 보러 가게 되는 거 같은데,쫌 더 공연이나 이런 것도 보러 가게 되는 거 같은데
어 생각을 조금 다시 조금 해보면 아까 말씀드렸던 미고스 공연이라던가,어 생각을 쫌 다시 쫌 해보면 아까 말씀드렸던 미고스 공연이라던가
어 아무튼 조금 불미스러운 일이 있어서 그 이후로는 이제 조금 안 좋아지더라고요,어 아무튼 쫌 불미스러운 일이 있어서 그 이후로는 이제 쫌 안 좋아지더라고요
약간 스타일이 바뀌어가지고,약간 스타일이 바껴가지고
어떨 때 음악을 조금 주로 들으시는 편이신가요?,어떨 때 음악을 쫌 주로 들으시는 편이신가요?
하나로 보시나요 아니면은 뭔가 이런 논란이 있으면은 이 창작물에 대한 애정이나 그런 것도 조금 떨어지시는 편인가요?,하나로 보시나요 아니면은 뭔가 이런 논란이 있으면은 이 창작물에 대한 애정이나 그런 것도 쫌 떨어지시는 편인가요?
그러니까 저는 이제 그런 사실 불미스러운 일이 터져도,그니까 저는 이제 그런 사실 불미스러운 일이 터져도
스스로가 신경을 쓰다 보니깐 자기 스타일이 바뀌었어요,스스로가 신경을 쓰다 보니깐 자기 스타일이 바꼈어요
그래서 이제 저는 그것 때문에 스타일이 바뀌어가지고,그래서 이제 저는 그것 때문에 스타일이 바껴가지고
이제 지금은 미고스랑 나폴라를 이제 가장 이제 조금 잘 듣는 거 같고요,이제 지금은 미고스랑 나폴라를 이제 가장 이제 쫌 잘 듣는 거 같고요
그랬을 때 그  씨는 음악의 장르를 조금 가르지 않으면서 조금 두루두루 다 들으신다고 하셨는데,그랬을 때 그  씨는 음악의 장르를 쫌 가르지 않으면서 쫌 두루두루 다 들으신다고 하셨는데
최근에는 그거보다는 조금 더 다양하게 듣기는 듣는 거 같애요,최근에는 그거보다는 쫌 더 다양하게 듣기는 듣는 거 같애요
클래식에 대해서 약간 조금 같이 자연스럽게 관심을 가지게 된 거 같은데,클래식에 대해서 약간 쫌 같이 자연스럽게 관심을 가지게 된 거 같은데
다룰 줄 아는 악기라고 하면 이제 조금 약간,다룰 줄 아는 악기라고 하믄 이제 쫌 약간
이게 기타를 옛날에 조금 배웠었어요,이게 기타를 옛날에 쫌 배웠었어요
필리핀에서 이제 기타를 조금 배웠었는데,필리핀에서 이제 기타를 쫌 배웠었는데
뭐 공연을 봐도 막 이렇게 연주를 하면은 아 저 사람 되게 잘한다,뭐 공연을 봐도 막 이케 연주를 하면은 아 저 사람 되게 잘한다
그러다 보니까 이제 어릴 때 비트박스를 조금 많이 했던 거 같애요,그러다 보니까 이제 어릴 때 비트박스를 쫌 많이 했던 거 같애요
약간 조금 치기에는  어려울 수 있다 약간 그렇게는 얘기를 하시더라고요,약간 쫌 치기에는  어려울 수 있다 약간 그렇게는 얘기를 하시더라고요
조금 정서에 맞는 약간 조금,쫌 정서에 맞는 약간 쫌
근데 이제 우리나라도 제가 최근 들어서 우리나라도 이렇게 조금 보면은,근데 이제 우리나라도 제가 최근 들어서 우리나라도 이케 쫌 보면은
그런 거를 조금 보면 들으면서 되게 뭔가 구슬프긴 한데,그런 거를 쫌 보면 들으면서 되게 뭔가 구슬프긴 한데
그런 게 있어가지고 가야금이 조금 좋았던 거 같애요,그런 게 있어가지고 가야금이 쫌 좋았던 거 같애요
조금 핵심적인 약간 하이라이트 부분은 봤던 거 같애요,쫌 핵심적인 약간 하이라이트 부분은 봤던 거 같애요
조금 계속 챙겨보는 그 클립 무대 중의 하나인 거 같애요,쫌 계속 챙겨보는 그 클립 무대 중의 하나인 거 같애요
조금 별로인 거 같으면서도,쫌 별로인 거 같으면서도
어 이렇게 옛날 겨울이 싫었던 이유는 너무 춥기도 하고,어 이케 옛날 겨울이 싫었던 이유는 너무 춥기도 하고
너무 춥다 보니까 밖에 안 나기도 하고 밖에 나가기 힘들었던 게 조금 싫었었는데 어렸을 적에는,너무 춥다 보니까 밖에 안 나기도 하고 밖에 나가기 힘들었던 게 쫌 싫었었는데 어렸을 적에는
어 조금 얇게 입고 다닌다는 게 좀 마음에 안 들고,어 쫌 얇게 입고 다닌다는 게 좀 마음에 안 들고
제가 땀이 조금 많은 편이여서,제가 땀이 쫌 많은 편이여서
땀이 조금 많은 편이라서,땀이 쫌 많은 편이라서
봄이 이제 조금 새로 시작하는 그런 계절이잖아요,봄이 이제 쫌 새로 시작하는 그런 계절이잖아요
그러니까 걷는 거랑 뛰는 거 엄청 좋아한다고 했었는데,그니까 걷는 거랑 뛰는 거 엄청 좋아한다고 했었는데
기분이 엄청 좋아 보이는 느낌 봄에만 조금 더 유독,기분이 엄청 좋아 보이는 느낌 봄에만 쫌 더 유독
봄에는 조금 땀도 나는 경우도 조금 많이 있어 가지고,봄에는 쫌 땀도 나는 경우도 쫌 많이 있어 가지고
그렇다고 우산을 챙겨가기도 조금 불편하거든요,그렇다고 우산을 챙겨가기도 쫌 불편하거든요
커가다 보니까  조금 눈이 안 보이기도 하고 최근에,커가다 보니까  쫌 눈이 안 보이기도 하고 최근에
쌓여서 뭔가 거기서 그 몽글몽글한 느낌이,쌓여서 뭔가 그기서 그 몽글몽글한 느낌이
쌓이면은 지금 키우고 있는 강아지랑도 조금 더,쌓이면은 지금 키우고 있는 강아지랑도 쫌 더
가을 전어 고소하고 맛있어요,가을 전어 꼬소하고 맛있어요
겨울에 조금 더 맛있는 해산물이 많아 가지고 그렇거든요,겨울에 쫌 더 맛있는 해산물이 많아 가지고 그렇거든요
먹기가 조금 그렇거든요 그래서,먹기가 쫌 그렇거든요 그래서
잘 안 먹는데 이제 겨울에는 조금 부담이 없으니까,잘 안 먹는데 이제 겨울에는 쫌 부담이 없으니까
그래서 조금 더 겨울 여름보다는 겨울을 더 좋아하는 거 같애요,그래서 쫌 더 겨울 여름보다는 겨울을 더 좋아하는 거 같애요
제가 조금 다크한 걸 좋아하기 때문에,제가 쫌 다크한 걸 좋아하기 때문에
조금 더 어두운 게 좋은 잘 어울리는 겨울 그래서 조금 더 겨울 좋아하는 거 같애요 여름보다,조금 더 어두운 게 좋은 잘 어울리는 겨울 그래서 쫌 더 겨울 좋아하는 거 같애요 여름보다
얼마 전에 일 단계로 낮아졌었는데 이 단계 그거 때문에 조금 신경 쓰이기도 하고,얼마 전에 일 단계로 낮아졌었는데 이 단계 그거 때문에 쫌 신경 쓰이기도 하고
땀이 조금 진짜 유독 많은 편이기도 해서,땀이 쫌 진짜 유독 많은 편이기도 해서
어렸을 때는 이제 조금 더 공기가 맑고 깨끗했잖아요 저희가,어렸을 때는 이제 쫌 더 공기가 맑고 깨끗했잖아요 저희가
진짜 모기 그 위잉 거리는 소리만 들어도 저는 무조건 고비 그냥 모기 다 잡고 자거든요,진짜 모기 그 위잉 거리는 소리만 들어도 저는 무조건 고비 걍 모기 다 잡고 자거든요
지구한테 좋은 쪽으로 바뀌 바뀌어가고 있다고 저는 들었거든요,지구한테 좋은 쪽으로 바뀌 바껴가고 있다고 저는 들었거든요
조금 되게 불편하긴 한데,쫌 되게 불편하긴 한데
굳이 제가 뭐 찾아보는 콘텐츠라고 하면,굳이 제가 뭐 찾아보는 콘텐츠라고 하믄
그런 만화를 보심이 어떠신지 한번 추천 드리고요,그런 만화를 보심이 어떠신지 함 추천 드리고요
그거는 매운 거 좋아하시는 분들한테 꼭 추천 드리고요,고고는 매운 거 좋아하시는 분들한테 꼭 추천 드리고요
때문에 염려되기도 하고 해가지고,땜에 염려되기도 하고 해가지고
이거를 살짝만,요고를 살짝만
나는 다이어트를,내는 다이어트를
굉장히 많이 쪄 가지고 이게,겁나 많이 쪄 가지고 이게
사정없이 뛰 보고 이런 것도 해 봤는데,쌔리 뛰 보고 이런 것도 해 봤는데
운동할 때도 조금 저는 힘든 거,운동할 때도 쫌 저는 힘든 거
진짜 나하고는 안 맞더라구요,진짜 내하고는 안 맞더라구요
쫙쫙 조금 빠졌던 거 같애요 근데,쫙쫙 쫌 빠졌던 거 같애요 근데
조금 한 한 달하다가,쫌 한 한 달하다가
살이 조금 빠질 때쯤에 또 둘째가 들어서 가지고,살이 쫌 빠질 때쯤에 또 둘째가 들어서 가지고
진짜 쌔게 해 봤는데도,진짜 쌔가빠지게 해 봤는데도
오히려 그것 때문에 몸이 아픈 느낌이 들어서,오히려 그것 땜에 몸이 아픈 느낌이 들어서
계속 조금 계속 먹게 되는 거예요 계속 이것도 맛보고 저것도 맛 보고 하니까,계속 쫌 계속 먹게 되는 거예요 계속 이것도 맛보고 저것도 맛 보고 하니까
한 오 분자다가 깨 버리고 한 십 분자다 깨 버리고 그러거든요,한 오 분자다가 깨 삐고 한 십 분자다 깨 삐고 그러거든요
그리고 이제 또 애기 잘 때 또 배고프면은 이제 또 쪼끔씩 먹고 해야 되니깐,그러고 이제 또 애기 잘 때 또 배고프면은 이제 또 쪼끔씩 먹고 해야 되니깐
내가 나한테 맞지 않은 이상 진짜 잘 안 빠지는 거 같애요 육아도 육아를 육아가 엄청 힘들어도,내가 내한테 맞지 않은 이상 진짜 잘 안 빠지는 거 같애요 육아도 육아를 육아가 엄청 힘들어도
어떤 다이어트를 즐겨하는지 조금 궁금해요,어떤 다이어트를 즐겨하는지 쫌 궁금해요
다른 시간에는 위가 약간 작아져 가지고 잘 못 먹고,따른 시간에는 위가 약간 짝아져 가지고 잘 못 먹고
